fullDisplayName,category,assessment,columnHeader,description
24. I tend to be cynical and skeptical of other's intentions.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_24,"24. I tend to be cynical and skeptical of other's intentions.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
25. I have a clear set of goals and work toward them in an orderly fashion.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_25,"25. I have a clear set of goals and work toward them in an orderly fashion.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
26. Sometimes I feel completely worthless.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_26,"26. Sometimes I feel completely worthless.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
27. I usually prefer to do things alone.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_27,"27. I usually prefer to do things alone.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
28. I often try new and foreign foods.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_28,"28. I often try new and foreign foods.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
29. I believe that most people will take advantage of you if you let them.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_29,"29. I believe that most people will take advantage of you if you let them.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
30. I waste a lot of time before settling down to work.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_30,"30. I waste a lot of time before settling down to work.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
31. I rarely feel fearful or anxious.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_31,"31. I rarely feel fearful or anxious.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
32. I often feel as if I am bursting with energy.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_32,"32. I often feel as if I am bursting with energy.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
33. I seldom notice the moods or feelings that different environments produce.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_33,"33. I seldom notice the moods or feelings that different environments produce.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
34. Most people I know like me.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_34,"34. Most people I know like me.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
35. I work hard to accomplish my goals.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_35,"35. I work hard to accomplish my goals.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
36. I often get angry at the way people treat me.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_36,"36. I often get angry at the way people treat me.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
"37. I am a cheerful, high-spirited person.",Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_37,"37. I am a cheerful, high-spirited person.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
38. I believe we should look to our religious authorities for decisions on moral issues.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_38,"38. I believe we should look to our religious authorities for decisions on moral issues.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
39. Some people think of me as cold and calculating.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_39,"39. Some people think of me as cold and calculating.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
"40. When I make a commitment, I can always be counted on to follow through.",Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_40,"40. When I make a commitment, I can always be counted on to follow through.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
"41. Too often, when things go wrong, I get discouraged and feel like giving up.",Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_41,"41. Too often, when things go wrong, I get discouraged and feel like giving up.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
42. I am not a cheerful optimist.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_42,"42. I am not a cheerful optimist.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
"43. Sometimes when I am reading poetry or looking at a work of art, I feel a chill or wave of excitement.",Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_43,"43. Sometimes when I am reading poetry or looking at a work of art, I feel a chill or wave of excitement.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
44. I'm hard-headed and tough-minded in my attitudes.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_44,"44. I'm hard-headed and tough-minded in my attitudes.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
45. Sometimes I'm not as dependable or reliable as I should be.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_45,"45. Sometimes I'm not as dependable or reliable as I should be.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
46. I am seldom sad or depressed.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_46,"46. I am seldom sad or depressed.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
47. My life is fast-paced.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_47,"47. My life is fast-paced.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
48. I have little interest in speculating on the nature of the universe or the human condition.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_48,"48. I have little interest in speculating on the nature of the universe or the human condition.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
49. I generally try to be thoughtful and considerate.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_49,"49. I generally try to be thoughtful and considerate.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
50. I am a productive person who always gets the job done.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_50,"50. I am a productive person who always gets the job done.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
51. I often feel helpless and want someone else to solve my problems.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_51,"51. I often feel helpless and want someone else to solve my problems.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
52. I am a very active person.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_52,"52. I am a very active person.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
53. I have a lot of intellectual curiosity.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_53,"53. I have a lot of intellectual curiosity.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
"54. If I don't like people, I let them know it.",Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_54,"54. If I don't like people, I let them know it.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
55. I never seem to be able to get organized.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_55,"55. I never seem to be able to get organized.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
56. At times I have been so ashamed I just wanted to hide.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_56,"56. At times I have been so ashamed I just wanted to hide.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
57. I would rather go my own way than be a leader of others.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_57,"57. I would rather go my own way than be a leader of others.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
58. I often enjoy playing with theories or abstract ideas.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_58,"58. I often enjoy playing with theories or abstract ideas.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
"59. If necessary, I am willing to manipulate people.",Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_59,"59. If necessary, I am willing to manipulate people.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
60. I strive for excellence in everything I do.,Personality,Five Factor Model (NEO-FFI) Raw Scores,NEORAW_60,"60. I strive for excellence in everything I do.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree"
ASR Anxious/Depressed Raw Score (ASR_Anxd_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Anxd_Raw,ASR Anxious/Depressed (scale I) Raw Score
ASR Anxious/Depressed Gender and Age Adjusted T-score (ASR_Anxd_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Anxd_T,ASR Anxious/Depressed (scale I) Gender and Age Adjusted T-score
ASR Withdrawn Raw Score (ASR_Witd_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Witd_Raw,ASR Withdrawn (scale II) Raw Score
ASR Withdrawn Gender and Age Adjusted T-score (ASR_Witd_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Witd_T,ASR Withdrawn (scale II) Gender and Age Adjusted T-score
ASR Somatic Complaints Raw Score (ASR_Soma_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Soma_Raw,ASR Somatic Complaints (scale III) Raw Score
ASR Somatic Complaints Gender and Age Adjusted T-score (ASR_Soma_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Soma_T,ASR Somatic Complaints (scale III) Gender and Age Adjusted T-score
ASR Thought Problems Raw Score (ASR_Thot_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Thot_Raw,ASR Thought Problems (scale IV) Raw Score
ASR Thought Problems Gender and Age Adjusted T-score (ASR_Thot_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Thot_T,ASR Thought Problems (scale IV) Gender and Age Adjusted T-score
ASR Attention Problems Raw Score (ASR_Attn_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Attn_Raw,ASR Attention Problems (scale V) Raw Score
ASR Attention Problems Gender and Age Adjusted T-score (ASR_Attn_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Attn_T,ASR Attention Problems (scale V) Gender and Age Adjusted T-score
ASR Aggressive Behavior Raw Score (ASR_Aggr_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Aggr_Raw,ASR Aggressive Behavior (scale VI) Raw Score
ASR Aggressive Behavior Gender and Age Adjusted T-score (ASR_Aggr_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Aggr_T,ASR Aggressive Behavior (scale VI) Gender and Age Adjusted T-score
ASR Rule Breaking Behavior Raw Score (ASR_Rule_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Rule_Raw,ASR Rule Breaking Behavior (scale VII) Raw Score
ASR Rule Breaking Behavior Gender and Age Adjusted T-score (ASR_Rule_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Rule_T,ASR Rule Breaking Behavior (scale VII) Gender and Age Adjusted T-score
ASR Intrusive Raw Score (ASR_Intr_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Intr_Raw,ASR Intrusive (scale VIII) Raw Score
ASR Intrusive Gender and Age Adjusted T-score (ASR_Intr_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Intr_T,ASR Intrusive (scale VIII) Gender and Age Adjusted T-score
ASR Other Problems Raw Score (ASR_Oth_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Oth_Raw,ASR Other Problems Raw Score
ASR Critical Items Raw Score (ASR_Crit_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Crit_Raw,ASR Critical Items Raw Score
ASR Internalizing Raw Score (ASR_Intn_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Intn_Raw,ASR Internalizing (scales I-III) Raw Score
ASR Internalizing Gender and Age Adjusted T-score (ASR_Intn_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Intn_T,ASR Internalizing (scales I-III) Gender and Age Adjusted T-score
ASR Internalizing Gender and Age Adjusted T-score (ASR_Intn_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Extn_Raw,ASR Externalizing (scales VI-VIII) Raw Score
ASR Externalizing Gender and Age Adjusted T-score (ASR_Computed_Externalizing_Adjusted_T) (ASR_Extn_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Extn_T,ASR Externalizing (scales VI-VIII) Gender and Age Adjusted T-score
"ASR Sum of Thought, Attention, and Other Problems Raw Score (ASR_TAO_Sum)",Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_TAO_Sum,"ASR Sum of scale IV, scale  V and Other Raw Score"
ASR Total Problems Raw Score (ASR_Totp_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Totp_Raw,ASR Total (all questions) Raw Score
ASR Total Problems Gender and Age Adjusted T-score (ASR_Totp_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Totp_T,ASR Total (all questions) Gender and Age Adjusted T-score
ASR DSM Depressive Problems Raw Score (DSM_Depr_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Depr_Raw,ASR DSM Depressive Problems (scale 1) Raw Score
ASR DSM Depressive Problems Gender and Age Adjusted T-score (DSM_Depr_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Depr_T,ASR DSM Depressive Problems (scale 1) Gender and Age Adjusted T-score
ASR DSM Anxiety Problems Raw Score (DSM_Anxi_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Anxi_Raw,ASR DSM Anxiety Problems (scale 2) Raw Score
ASR DSM Anxiety Problems Gender and Age Adjusted T-score (DSM_Anxi_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Anxi_T,ASR DSM Anxiety Problems (scale 2) Gender and Age Adjusted T-score
ASR DSM Somatic Problems Raw Score (DSM_Somp_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Somp_Raw,ASR DSM Somatic Problems (scale 3) Raw Score
ASR DSM Somatic Problems Gender and Age Adjusted T-score (DSM_Somp_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Somp_T,ASR DSM Somatic Problems (scale 3) Gender and Age Adjusted T-score
ASR DSM Avoidant Personality Problems Raw Score (DSM_Avoid_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Avoid_Raw,ASR DSM Avoidant Personality Problems (scale 4) Raw Score
ASR DSM Avoidant Personality Problems Gender and Age Adjusted T-score (DSM_Avoid_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Avoid_T,ASR DSM Avoidant Personality Problems (scale 4) Gender and Age Adjusted T-score
ASR DSM AD/H Problems Raw Score (DSM_Adh_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Adh_Raw,ASR DSM AD/H Problems (scale 5) Raw Score
ASR DSM AD/H Problems Gender and Age Adjusted T-score (DSM_Adh_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Adh_T,ASR DSM AD/H Problems (scale 5) Gender and Age Adjusted T-score
ASR DSM Inattention Problems Raw Score (DSM_Inat_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Inat_Raw,ASR DSM Inattention Problems Raw Score
ASR DSM Hyperactivity Problems Raw Score (DSM_Hype_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Hype_Raw,ASR DSM Hyperactivity Problems Raw Score
ASR DSM Antisocial Personality Problems Raw Score (DSM_Antis_Raw),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Antis_Raw,ASR DSM Antisocial Personality Problems (scale 6) Raw Score
ASR DSM Antisocial Personality Problems Gender and Age Adjusted T-score (DSM_Antis_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",DSM_Antis_T,ASR DSM Antisocial Personality Problems (scale 6) Gender and Age Adjusted T-score
Childhood Conduct Problems,Psychiatric and Life Function,Psychiatric History,SSAGA_ChildhoodConduct,"Number of  of Childhood Conduct problems participant reported. 0=None; 1=1; 2=2, if male; 2=2 or more, if female; 3=3 or more, if male "
Panic Disorder,Psychiatric and Life Function,Psychiatric History,SSAGA_PanicDisorder,"Non-diagnostic screen available to exclude possible cases of panic disorder. 0=No, 1=Yes, positive for panic disorder screen sometime over lifetime"
Agoraphobia,Psychiatric and Life Function,Psychiatric History,SSAGA_Agoraphobia,"Non-diagnostic screen available to exclude possible cases of agoraphobia. 1=No, 5=Yes, have experienced agorophobia (fear of being in certain places or situations where they feel it would be difficult to leave easily) sometime over lifetime"
Major Depressive Episode,Psychiatric and Life Function,Psychiatric History,SSAGA_Depressive_Ep,"Has the participant experienced a diagnosed DSMIV Major Depressive Episode over his/her lifetime? 1=No, 5=Yes"
Number Depressive Symptoms,Psychiatric and Life Function,Psychiatric History,SSAGA_Depressive_Sx,Number of depressive symptoms endorsed that meet DSMIV criterion for major depression over his/her lifetime
NIH Toolbox Words-In-Noise Age 6+: Computed Score,Sensory,Audition (Words in Noise),Noise_Comp,"This test measures a person’s ability to recognize single words presented amid varying levels of background noise. It measures how much difficulty a person might have hearing in a noisy environment. A percent correct is calculated, which is then translated into a threshold score for each ear, in decibels of signal-to-noise ratio (dB S/N), using a look-up table. The range of possible scores for each ear is -2.0 to 26.0 dB S/N, with lower scores indicative of better performance and, conversely, higher scores potentially suggestive of hearing difficulties. Note: HCP has used two versions of the NIH Toolbox WIN test (V1 and V2). In V1 the audio output was through a sound card and equalizer that is no longer supported and in V2 the audio output goes straight through the headphone jack worn by the participant. HCP switched from V1 to V2 WIN on January 23, 2015, so all Q1-S500 Subjects were administered V1 and most S900+ Subjects were administered V2."
NIH Toolbox Odor Identification Age 3+ Unadjusted Scale Score,Sensory,Olfaction (Odor Identification Test),Odor_Unadj,"This task assesses a person’s ability to identify various odors. Using 9 scratch-and-sniff cards, participants are asked to identify which of four pictures matches the odor they have just smelled. Raw scores are calculated by simply summing the total number of correct items (0 to 9). Higher scores indicate better olfactory ability/functioning. Unadjusted Scale Score: Participant raw score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. "
NIH Toolbox Odor Identification Age 3+ Age-Adjusted Scale Score,Sensory,Olfaction (Odor Identification Test),Odor_AgeAdj,"This task assesses a person’s ability to identify various odors. Using 9 scratch-and-sniff cards, participants are asked to identify which of four pictures matches the odor they have just smelled. Raw scores are calculated by simply summing the total number of correct items (0 to 9). Higher scores indicate better olfactory ability/functioning. Age-adjusted Scale Score: Participant raw score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
NIH Toolbox Pain Intensity Survey Age 18+: Raw score,Sensory,Pain (Pain Intensity and Interference Surveys),PainIntens_RawScore,"This measure consists of a single item measuring immediate (i.e., acute) pain in adults. It asks a participant to rate level of pain experienced over the last seven days on a 0-10 scale, with 0 representing no pain, and 10 representing the worst imaginable pain. No derived scores are available. One could reasonably expect a large proportion of the normal population to obtain scores ofzero on this measure. Regardless, it is an easily quantifiable piece of information on one’s subjective pain experience. "
NIH Toolbox Pain Interference Survey Age 18+: T-score,Sensory,Pain (Pain Intensity and Interference Surveys),PainInterf_Tscore,"The pain interference survey measures, in CAT format, the self-reported consequences of pain on relevant aspects of one’s life. This includes the extent to which pain hinders engagement with social, cognitive, emotional, physical and recreational activities. Higher theta (mean = 50, SD = 10) and T-Scores represent greater participant report of pain interference in daily life. "
NIH Toolbox Regional Taste Intensity Age 12+ Unadjusted Scale Score,Sensory,Taste (Taste Intensity Test),Taste_Unadj,"This test measures the perceived intensity of quinine (a bitter tastant) and salt administered in liquid solutions swished around in the whole mouth or applied to the tip of the tongue. Participants rate the taste on a generalized labeled magnitude scale (gLMS) of perceived intensity, with seven anchor labels provided (Strongest imaginable, Very strong, Strong, Moderate, Weak, Barely detectable, No sensation) on a 0-100 scale, which is then converted to a normative scale. Whole mouth quinine normative scale scores are provided where higher performance is indicative of higher perceived taste intensity.  Unadjusted Scale Score: Participant raw score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. "
NIH Toolbox Regional Taste Intensity Age 12+ Age-Adjusted Scale Score,Sensory,Taste (Taste Intensity Test),Taste_AgeAdj,"This test measures the perceived intensity of quinine (a bitter tastant) and salt administered in liquid solutions swished around in the whole mouth or applied to the tip of the tongue. Participants rate the taste on a generalized labeled magnitude scale (gLMS) of perceived intensity, with seven anchor labels provided (Strongest imaginable, Very strong, Strong, Moderate, Weak, Barely detectable, No sensation) on a 0-100 scale, which is then converted to a normative scale. Whole mouth quinine normative scale scores are provided where higher performance is indicative of higher perceived taste intensity. Age-adjusted Scale Score: Participant raw score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
Color Vision Category,Sensory,Vision (EVA Scores and Farnsworth Test),Color_Vision,"This is the type of color vision that the individual has. It will either be NORMAL, TRITAN, PROTAN, or DEUTAN."
Eye Used For Color Vision Test,Sensory,Vision (EVA Scores and Farnsworth Test),Eye,Was right or left eye (dominant eye) used for color vision test?
EVA score - Numerator,Sensory,Vision (EVA Scores and Farnsworth Test),EVA_Num,"Electronic Visual Acuity Numerator, distance in feet from the EVA system display that the subject's visual acuity was virtually tested. Letters are displayed and the subject (with corrected vision, if applicable) is asked to read the letters at a virtual distance of 20 feet. The subject's ability to read progressively smaller letters is compared with the ability of a person with normal (20/20 Snellen ratio) vision to read letters at 20 feet."
EVA score - Denominator,Sensory,Vision (EVA Scores and Farnsworth Test),EVA_Denom,"Electronic Visual Acuity Denominator, distance in feet that a person with normal (20/20 Snellen ratio) vision can read letters as well as the subject (with corrected vision, if applicable) can read letters at a virtual distance of 20 feet (value of the EVA numerator). A value less than 20 means the subject has better than normal vision, a value greater than 20 means the subject has poorer than normal vision."
Eyeglass correction,Sensory,Vision (EVA Scores and Farnsworth Test),Correction,"Eyeglass lens correction (average between eyes) in diopters. Correction needed, but unknown coded 999. "
Mars Contrast Sensitivity Score,Sensory,Contrast Sensitivity (Mars Contrast Sensitivity),Mars_Log_Score,"Contrast Sensitivity Score for the final correctly read letter on the contrast test card (before two consecutive errors that end the test). Participant reads letters from the Mars contrast test card left to right for each line, from top to bottom of the chart. The test continues until two consecutive errors have been made."
Errors on Mars,Sensory,Contrast Sensitivity (Mars Contrast Sensitivity),Mars_Errs,"Number of non-consecutive Errors on Mars Contrast Sensitivity Test made before the final correctly read letter on the contrast test card. Participant reads letters from the Mars contrast test card left to right for each line, from top to bottom of the chart. The test continues until two consecutive errors have been made."
Mars Final Contrast Sensitivity Score,Sensory,Contrast Sensitivity (Mars Contrast Sensitivity),Mars_Final,"Final Contrast Sensitivity (CS) Score. Participant reads letters from the Mars contrast test card left to right for each line, from top to bottom of the chart. The test continues until two consecutive errors have been made. The CS score is the value of the final correct letter, minus 0.04 for each incorrect letter prior to the two final consecutive errors. "
Any breathalyzer over .05,Substance Use,Breathalyzer and Drug Test Results,Breathalyzer_Over_05,Any Breathalyzer >= 0.05? Breathalyzers were administered on each HCP visit day when scanning or behavioral data collected.  
Any breathalyzer over .08,Substance Use,Breathalyzer and Drug Test Results,Breathalyzer_Over_08,Any Breathalyzer >= 0.08? Breathalyzers were administered on each HCP visit day when scanning or behavioral data collected.
Positive test for Cocaine,Substance Use,Breathalyzer and Drug Test Results,Cocaine,Any positive test for Cocaine? Drug tests were administered on each HCP visit day when scanning or behavioral data collected.
Positive test for THC,Substance Use,Breathalyzer and Drug Test Results,THC,Any positive test for THC? Drug tests were administered on each HCP visit day when scanning or behavioral data collected.
Positive test for Opiates,Substance Use,Breathalyzer and Drug Test Results,Opiates,Any positive test for Opiates? Drug tests were administered on each HCP visit day when scanning or behavioral data collected.
Positive test for Amphetamines,Substance Use,Breathalyzer and Drug Test Results,Amphetamines,Any positive test for Amphetamines? Drug tests were administered on each HCP visit day when scanning or behavioral data collected.
Positive test for MethAmphetamine,Substance Use,Breathalyzer and Drug Test Results,MethAmphetamine,Any positive test for MethAmphetamine? Drug tests were administered on each HCP visit day when scanning or behavioral data collected.
Positive test for Oxycontin,Substance Use,Breathalyzer and Drug Test Results,Oxycontin,Any positive test for Oxycontin? Drug tests were administered on each HCP visit day when scanning or behavioral data collected.
